678.0,-21.08,55.63,0,0,4,619999
month,day,year,hour,minute,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},GHI infared {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,PrecipWtr {mm},AerosolOptDepth {.001},SnowDepth {cm},DaysLastSnow,Albedo {.01},Rain {mm},Rain Quantity {hr}
1,1,2022,1,0,,19.090,16.670,87.800,93600.000,0.000,1413.941,344.138,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,0.324,8.000,99,9999,99999,9,999999999,8.856,0.090,0,0,0.200,8.856,1
1,1,2022,2,0,,17.988,16.106,88.600,93600.000,0.000,1413.941,336.266,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,0.270,8.000,99,9999,99999,9,999999999,1.918,0.090,0,0,0.200,1.918,1
1,1,2022,3,0,,17.642,16.100,90.200,93600.000,0.000,1413.941,334.540,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,0.270,8.000,99,9999,99999,9,999999999,1.792,0.090,0,0,0.200,1.792,1
1,1,2022,4,0,,17.320,16.094,91.800,93600.000,0.000,1413.982,332.983,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,0.270,8.000,99,9999,99999,9,999999999,1.750,0.090,0,0,0.200,1.750,1
1,1,2022,5,0,,17.022,16.088,93.200,93600.000,0.000,1413.982,331.490,12.008,0.000,0.000,1440.960,0.000,0.000,-0.000,999,0.270,8.000,99,9999,99999,9,999999999,1.714,0.090,0,0,0.200,1.714,1
1,1,2022,6,0,,16.730,16.080,93.000,93600.000,93.584,1413.982,329.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,999,0.270,8.000,99,9999,99999,9,999999999,0.030,0.090,0,0,0.200,0.030,1
1,1,2022,7,0,,16.500,16.080,94.000,93600.000,406.526,1413.982,328.040,60.040,0.000,60.040,7204.800,0.000,6604.400,66.686,999,0.270,8.000,99,9999,99999,9,999999999,0.010,0.090,0,0,0.200,0.010,1
1,1,2022,8,0,,18.950,16.120,83.000,93600.000,708.439,1413.982,340.330,218.690,21.476,207.939,26242.800,2040.257,22873.312,132.223,999,0.270,8.000,99,9999,99999,9,999999999,0.060,0.090,0,0,0.200,0.060,1
1,1,2022,9,0,,20.360,16.150,73.000,93600.000,976.075,1413.982,344.696,379.090,60.099,337.617,45490.800,5709.387,37137.873,155.731,999,0.270,7.000,99,9999,99999,9,999999999,0.000,0.090,0,0,0.200,0.000,0
1,1,2022,10,0,,21.670,16.170,72.000,93600.000,1190.936,1413.982,354.029,517.910,133.221,405.718,62149.200,12655.954,44628.936,153.349,999,0.270,7.000,99,9999,99999,9,999999999,0.010,0.090,0,0,0.200,0.010,1
