1613.0,-21.14,55.57,0,0,4,619999
month,day,year,hour,minute,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},GHI infared {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,PrecipWtr {mm},AerosolOptDepth {.001},SnowDepth {cm},DaysLastSnow,Albedo {.01},Rain {mm},Rain Quantity {hr}
1,1,2022,1,0,,13.748,10.916,85.200,83533.800,0.000,1413.941,299.085,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,0.320,8.000,99,9999,99999,9,999999999,0.474,0.999,0,0,999,0.474,99
1,1,2022,2,0,,12.606,10.310,86.600,83533.800,0.000,1413.941,292.077,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,0.360,8.000,99,9999,99999,9,999999999,0.468,0.999,0,0,999,0.468,99
1,1,2022,3,0,,12.164,10.340,88.000,83533.800,0.000,1413.941,289.799,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,0.360,8.000,99,9999,99999,9,999999999,0.442,0.999,0,0,999,0.442,99
1,1,2022,4,0,,11.752,10.368,89.400,83533.800,0.000,1413.982,287.720,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,0.360,8.000,99,9999,99999,9,999999999,0.436,0.999,0,0,999,0.436,99
1,1,2022,5,0,,11.370,10.394,90.800,83533.800,0.000,1413.982,285.838,13.808,0.000,0.000,1656.960,0.000,0.000,-0.000,999,0.360,8.000,99,9999,99999,9,999999999,0.010,0.999,0,0,999,0.010,99
1,1,2022,6,0,,11.000,10.420,91.000,83533.800,92.928,1413.982,283.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,999,0.360,8.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2022,7,0,,10.700,10.440,98.000,83533.800,405.733,1413.982,284.540,69.040,0.000,69.040,8284.800,0.000,7594.400,76.833,999,0.360,8.000,99,9999,99999,9,999999999,0.010,0.999,0,0,999,0.010,99
1,1,2022,8,0,,13.730,10.240,81.000,83533.800,707.620,1413.982,296.811,231.590,28.831,217.174,27790.800,2738.916,23889.191,138.256,999,0.360,7.000,99,9999,99999,9,999999999,0.010,0.999,0,0,999,0.010,99
1,1,2022,9,0,,15.360,10.130,73.000,83533.800,975.324,1413.982,303.427,392.130,58.850,351.550,47055.600,5590.723,38670.533,162.283,999,0.360,7.000,99,9999,99999,9,999999999,0.020,0.999,0,0,999,0.020,99
1,1,2022,10,0,,16.870,10.030,67.000,83533.800,1190.341,1413.982,310.069,530.250,88.149,456.052,63630.000,8374.144,50165.726,172.460,999,0.360,7.000,99,9999,99999,9,999999999,0.070,0.999,0,0,999,0.070,99
