1161.4444444444443,-21.14,55.63,0,0,4,619999
month,day,year,hour,minute,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},GHI infared {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,PrecipWtr {mm},AerosolOptDepth {.001},SnowDepth {cm},DaysLastSnow,Albedo {.01},Rain {mm},Rain Quantity {hr}
1,1,2022,1,0,,15.908,13.928,88.400,88279.520,0.000,1413.941,318.211,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,0.296,8.000,99,9999,99999,9,999999999,0.024,0.999,0,0,999,0.024,99
1,1,2022,2,0,,14.760,13.346,91.800,88279.520,0.000,1413.941,311.757,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,0.300,8.000,99,9999,99999,9,999999999,0.052,0.999,0,0,999,0.052,99
1,1,2022,3,0,,14.390,13.304,93.600,88279.520,0.000,1413.941,310.016,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,0.300,8.000,99,9999,99999,9,999999999,0.090,0.999,0,0,999,0.090,99
1,1,2022,4,0,,14.046,13.266,95.200,88279.520,0.000,1413.982,308.353,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,0.300,8.000,99,9999,99999,9,999999999,0.092,0.999,0,0,999,0.092,99
1,1,2022,5,0,,13.728,13.230,96.600,88279.520,0.000,1413.982,306.773,12.718,0.000,0.000,1526.160,0.000,0.000,-0.000,999,0.300,8.000,99,9999,99999,9,999999999,0.110,0.999,0,0,999,0.110,99
1,1,2022,6,0,,13.420,13.200,98.000,88279.520,94.147,1413.982,305.257,0.000,0.000,0.000,0.000,0.000,0.000,0.000,999,0.300,8.000,99,9999,99999,9,999999999,0.020,0.999,0,0,999,0.020,99
1,1,2022,7,0,,13.170,13.170,99.000,88279.520,406.981,1413.982,303.964,63.590,0.000,63.590,7630.800,0.000,6994.900,70.550,999,0.300,8.000,99,9999,99999,9,999999999,0.100,0.999,0,0,999,0.100,99
1,1,2022,8,0,,15.960,13.480,86.000,88279.520,708.772,1413.982,317.333,219.410,21.321,208.732,26329.200,2025.453,22960.539,132.665,999,0.300,8.000,99,9999,99999,9,999999999,0.010,0.999,0,0,999,0.010,99
1,1,2022,9,0,,17.490,13.650,76.000,88279.520,976.300,1413.982,322.641,374.600,86.170,315.122,44952.000,8186.163,34663.418,145.321,999,0.300,7.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2022,10,0,,17.140,13.610,77.000,88279.520,1191.074,1413.982,320.729,147.620,1.579,146.290,17714.400,149.977,16091.936,55.287,999,0.300,8.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2022,11,0,,18.130,13.720,73.000,88279.520,1338.390,1413.982,325.392,453.260,10.768,443.068,54391.200,1022.939,48737.504,149.004,999,0.540,8.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2022,12,0,,19.500,13.870,68.000,88279.520,1408.182,1413.982,332.032,670.230,164.193,506.710,80427.600,15598.374,55738.154,161.956,999,0.690,7.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2022,13,0,,20.380,13.970,65.000,88279.520,1395.681,1413.982,336.353,634.160,101.847,533.632,76099.200,9675.503,58699.468,172.089,999,1.070,7.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2022,14,0,,21.100,14.040,63.000,88279.520,1301.736,1413.982,340.183,656.470,166.030,503.628,78776.400,15772.865,55399.067,174.142,999,1.110,7.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2022,15,0,,21.490,14.090,66.000,88279.520,1132.750,1413.982,345.385,582.910,186.134,433.822,69949.200,17682.700,47720.367,172.402,999,1.680,7.000,99,9999,99999,9,999999999,0.030,0.999,0,0,999,0.030,99
