i06_j17,REU_i06_j17,RE,4.0,-21.29,55.54,696.6666666666666
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2016,01:00,0.0,1413.941,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,21.47,E,8,20.176,E,8,87.8,E,8,933.8986,E,8,999.0,E,8,1.082,E,8,-9900,?,9,-9900,?,9,0.0016,E,8,-9900,?,9,-9900,?,9,0.016,99.0,E,8
01/01/2016,02:00,0.0,1413.941,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,21.23,E,8,20.572,E,8,90.4,E,8,933.8986,E,8,999.0,E,8,0.712,E,8,-9900,?,9,-9900,?,9,0.19419999999999998,E,8,-9900,?,9,-9900,?,9,1.942,99.0,E,8
01/01/2016,03:00,0.0,1413.941,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,21.158,E,8,20.554,E,8,90.0,E,8,933.8986,E,8,999.0,E,8,0.7,E,8,-9900,?,9,-9900,?,9,0.1936,E,8,-9900,?,9,-9900,?,9,1.936,99.0,E,8
01/01/2016,04:00,0.0,1413.982,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,21.092,E,8,20.538,E,8,89.4,E,8,933.8986,E,8,999.0,E,8,0.7,E,8,-9900,?,9,-9900,?,9,0.1934,E,8,-9900,?,9,-9900,?,9,1.934,99.0,E,8
01/01/2016,05:00,0.0,1413.982,12.984,1,8,0.0,1,8,0.0,1,8,1558.08,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,21.03,E,8,20.522,E,8,90.4,E,8,933.8986,E,8,999.0,E,8,0.7,E,8,-9900,?,9,-9900,?,9,0.1944,E,8,-9900,?,9,-9900,?,9,1.944,99.0,E,8
01/01/2016,06:00,95.226,1413.982,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-9900,?,9,-9900,?,9,20.97,E,8,20.51,E,8,87.0,E,8,933.8986,E,8,999.0,E,8,0.66,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2016,07:00,407.693,1413.982,64.92,1,8,0.0,1,8,64.92,1,8,7790.4,1,8,0.0,1,8,7141.2,1,8,71.899,1,8,-9900,?,9,-9900,?,9,20.92,E,8,20.49,E,8,91.0,E,8,933.8986,E,8,999.0,E,8,0.66,E,8,-9900,?,9,-9900,?,9,0.005,E,8,-9900,?,9,-9900,?,9,0.05,99.0,E,8
01/01/2016,08:00,709.145,1413.982,235.65,1,8,56.08,1,8,207.549,1,8,28278.0,1,8,5327.582,1,8,22830.406,1,8,131.843,1,8,-9900,?,9,-9900,?,9,23.14,E,8,21.06,E,8,81.0,E,8,933.8986,E,8,999.0,E,8,1.0,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2016,09:00,976.42,1413.982,408.4,1,8,83.068,1,8,351.056,1,8,49008.0,1,8,7891.421,1,8,38616.208,1,8,161.873,1,8,-9900,?,9,-9900,?,9,24.4,E,8,21.38,E,8,78.0,E,8,933.8986,E,8,999.0,E,8,1.62,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2016,10:00,1191.047,1413.982,557.97,1,8,107.693,1,8,467.267,1,8,66956.4,1,8,10230.819,1,8,51399.419,1,8,176.597,1,8,-9900,?,9,-9900,?,9,25.59,E,8,21.67,E,8,75.0,E,8,933.8986,E,8,999.0,E,8,1.69,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
