i14_j08,REU_i14_j08,RE,4.0,-21.049999999999997,55.27,400.0
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2013,01:00,0.0,1413.982,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,22.404,E,8,17.788,E,8,76.4,E,8,967.7514,E,8,999.0,E,8,1.224,E,8,-9900,?,9,-9900,?,9,0.1052,E,8,-9900,?,9,-9900,?,9,1.052,99.0,E,8
01/01/2013,02:00,0.0,1413.982,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,21.836,E,8,17.346,E,8,76.4,E,8,967.7514,E,8,999.0,E,8,1.09,E,8,-9900,?,9,-9900,?,9,0.10300000000000001,E,8,-9900,?,9,-9900,?,9,1.03,99.0,E,8
01/01/2013,03:00,0.0,1413.982,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,21.374,E,8,17.21,E,8,76.8,E,8,967.7514,E,8,999.0,E,8,1.09,E,8,-9900,?,9,-9900,?,9,0.1006,E,8,-9900,?,9,-9900,?,9,1.006,99.0,E,8
01/01/2013,04:00,0.0,1413.982,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,20.944,E,8,17.084,E,8,77.2,E,8,967.7514,E,8,999.0,E,8,1.09,E,8,-9900,?,9,-9900,?,9,0.1002,E,8,-9900,?,9,-9900,?,9,1.002,99.0,E,8
01/01/2013,05:00,0.0,1413.982,8.612,1,8,0.0,1,8,0.0,1,8,1033.44,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,20.544,E,8,16.964,E,8,77.6,E,8,967.7514,E,8,999.0,E,8,1.09,E,8,-9900,?,9,-9900,?,9,0.0988,E,8,-9900,?,9,-9900,?,9,0.988,99.0,E,8
01/01/2013,06:00,85.18,1413.982,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-9900,?,9,-9900,?,9,20.16,E,8,16.85,E,8,77.0,E,8,967.7514,E,8,999.0,E,8,1.09,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2013,07:00,397.995,1413.982,43.06,1,8,0.0,1,8,43.06,1,8,5167.2,1,8,0.0,1,8,4736.6,1,8,48.859,1,8,-9900,?,9,-9900,?,9,19.84,E,8,16.75,E,8,78.0,E,8,967.7514,E,8,999.0,E,8,1.09,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2013,08:00,700.628,1413.982,191.68,1,8,19.148,1,8,182.201,1,8,23001.6,1,8,1819.014,1,8,20042.102,1,8,117.151,1,8,-9900,?,9,-9900,?,9,22.74,E,8,17.61,E,8,70.0,E,8,967.7514,E,8,999.0,E,8,1.09,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2013,09:00,969.504,1413.982,296.03,1,8,15.763,1,8,285.225,1,8,35523.6,1,8,1497.532,1,8,31374.779,1,8,132.457,1,8,-9900,?,9,-9900,?,9,24.21,E,8,18.02,E,8,66.0,E,8,967.7514,E,8,999.0,E,8,1.27,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2013,10:00,1186.026,1413.982,327.44,1,8,20.173,1,8,310.521,1,8,39292.8,1,8,1916.431,1,8,34157.346,1,8,117.854,1,8,-9900,?,9,-9900,?,9,25.14,E,8,18.28,E,8,64.0,E,8,967.7514,E,8,999.0,E,8,1.94,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2013,11:00,1335.37,1413.982,666.78,1,8,248.853,1,8,431.77,1,8,80013.6,1,8,23641.059,1,8,47494.735,1,8,145.533,1,8,-9900,?,9,-9900,?,9,27.38,E,8,18.89,E,8,59.0,E,8,967.7514,E,8,999.0,E,8,2.61,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2013,12:00,1407.332,1413.982,417.28,1,8,35.717,1,8,381.731,1,8,50073.6,1,8,3393.106,1,8,41990.43,1,8,122.083,1,8,-9900,?,9,-9900,?,9,27.84,E,8,19.01,E,8,58.0,E,8,967.7514,E,8,999.0,E,8,2.27,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2013,13:00,1396.993,1413.982,557.92,1,8,58.338,1,8,500.283,1,8,66950.4,1,8,5542.145,1,8,55031.126,1,8,161.183,1,8,-9900,?,9,-9900,?,9,28.66,E,8,19.23,E,8,56.0,E,8,967.7514,E,8,999.0,E,8,3.42,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2013,14:00,1305.054,1413.982,375.11,1,8,21.127,1,8,355.612,1,8,45013.2,1,8,2007.04,1,8,39117.295,1,8,122.649,1,8,-9900,?,9,-9900,?,9,28.72,E,8,19.24,E,8,56.0,E,8,967.7514,E,8,999.0,E,8,3.14,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2013,15:00,1137.783,1413.982,473.92,1,8,102.433,1,8,391.509,1,8,56870.4,1,8,9731.158,1,8,43065.948,1,8,154.898,1,8,-9900,?,9,-9900,?,9,29.03,E,8,19.32,E,8,55.0,E,8,967.7514,E,8,999.0,E,8,3.3,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2013,16:00,906.602,1413.982,381.8,1,8,74.564,1,8,334.012,1,8,45816.0,1,8,7083.552,1,8,36741.336,1,8,165.891,1,8,-9900,?,9,-9900,?,9,29.06,E,8,19.33,E,8,55.0,E,8,967.7514,E,8,999.0,E,8,2.4,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
