420.22222222222223,-21.35,55.72,0,0,4,619999
month,day,year,hour,minute,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},GHI infared {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,PrecipWtr {mm},AerosolOptDepth {.001},SnowDepth {cm},DaysLastSnow,Albedo {.01},Rain {mm},Rain Quantity {hr}
1,1,2013,1,0,,23.768,20.784,85.600,96541.280,0.000,1413.982,381.482,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,1.814,8.000,99,9999,99999,9,999999999,1.406,0.999,0,0,999,1.406,99
1,1,2013,2,0,,23.410,20.536,84.400,96541.280,0.000,1413.982,377.778,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,1.000,8.000,99,9999,99999,9,999999999,0.002,0.999,0,0,999,0.002,99
1,1,2013,3,0,,23.088,20.528,85.000,96541.280,0.000,1413.982,375.534,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,1.000,8.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2013,4,0,,22.788,20.520,86.400,96541.280,0.000,1413.982,373.970,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,999,1.000,8.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2013,5,0,,22.512,20.512,88.000,96541.280,0.000,1413.982,372.711,15.576,0.000,0.000,1869.120,0.000,0.000,-0.000,999,1.000,8.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2013,6,0,,22.240,20.500,89.000,96541.280,97.120,1413.982,371.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,999,1.000,8.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2013,7,0,,22.030,20.500,91.000,96541.280,409.634,1413.982,370.593,77.880,0.000,77.880,9345.600,0.000,8566.800,85.840,999,1.000,8.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2013,8,0,,24.120,20.560,80.000,96541.280,710.948,1413.982,380.693,276.130,93.014,229.403,33135.600,8836.301,25234.363,145.356,999,1.040,6.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2013,9,0,,25.310,20.590,75.000,96541.280,977.963,1413.982,386.971,478.030,189.989,346.668,57363.600,18048.982,38133.512,159.597,999,1.520,5.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
1,1,2013,10,0,,26.460,20.620,70.000,96541.280,1192.229,1413.982,392.709,666.090,292.985,419.083,79930.800,27833.604,46099.104,158.229,999,1.130,4.000,99,9999,99999,9,999999999,0.000,0.999,0,0,999,0.000,0
