i15_j14,REU_i15_j14,RE,4.0,-21.02,55.45,1288.0
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2020,01:00,0.0,1413.941,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,17.1,E,8,14.996,E,8,84.8,E,8,869.2799,E,8,999.0,E,8,2.582,E,8,-9900,?,9,-9900,?,9,0.054400000000000004,E,8,-9900,?,9,-9900,?,9,0.544,99.0,E,8
01/01/2020,02:00,0.0,1413.941,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,16.766,E,8,15.58,E,8,89.2,E,8,869.2799,E,8,999.0,E,8,2.876,E,8,-9900,?,9,-9900,?,9,0.0766,E,8,-9900,?,9,-9900,?,9,0.766,99.0,E,8
01/01/2020,03:00,0.0,1413.941,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,16.372,E,8,15.432,E,8,89.6,E,8,869.2799,E,8,999.0,E,8,2.432,E,8,-9900,?,9,-9900,?,9,0.05,E,8,-9900,?,9,-9900,?,9,0.5,99.0,E,8
01/01/2020,04:00,0.0,1413.982,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,16.006,E,8,15.294,E,8,91.2,E,8,869.2799,E,8,999.0,E,8,2.114,E,8,-9900,?,9,-9900,?,9,0.1146,E,8,-9900,?,9,-9900,?,9,1.146,99.0,E,8
01/01/2020,05:00,0.0,1413.982,15.456,1,8,0.0,1,8,0.0,1,8,1854.72,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,15.666,E,8,15.164,E,8,93.4,E,8,869.2799,E,8,999.0,E,8,1.846,E,8,-9900,?,9,-9900,?,9,0.8295999999999999,E,8,-9900,?,9,-9900,?,9,8.296,99.0,E,8
01/01/2020,06:00,90.799,1413.982,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-9900,?,9,-9900,?,9,15.34,E,8,15.04,E,8,95.0,E,8,869.2799,E,8,999.0,E,8,1.63,E,8,-9900,?,9,-9900,?,9,0.32999999999999996,E,8,-9900,?,9,-9900,?,9,3.3,99.0,E,8
01/01/2020,07:00,403.706,1413.982,77.28,1,8,0.0,1,8,77.28,1,8,9273.6,1,8,0.0,1,8,8500.8,1,8,86.438,1,8,-9900,?,9,-9900,?,9,15.07,E,8,14.93,E,8,99.0,E,8,869.2799,E,8,999.0,E,8,1.52,E,8,-9900,?,9,-9900,?,9,3.5799999999999996,E,8,-9900,?,9,-9900,?,9,35.8,99.0,E,8
01/01/2020,08:00,705.852,1413.982,169.44,1,8,3.332,1,8,167.778,1,8,20332.8,1,8,316.558,1,8,18455.586,1,8,107.077,1,8,-9900,?,9,-9900,?,9,17.63,E,8,15.9,E,8,86.0,E,8,869.2799,E,8,999.0,E,8,2.57,E,8,-9900,?,9,-9900,?,9,0.046,E,8,-9900,?,9,-9900,?,9,0.46,99.0,E,8
01/01/2020,09:00,973.889,1413.982,290.32,1,8,29.258,1,8,270.175,1,8,34838.4,1,8,2779.468,1,8,29719.276,1,8,124.903,1,8,-9900,?,9,-9900,?,9,18.79,E,8,16.33,E,8,84.0,E,8,869.2799,E,8,999.0,E,8,4.72,E,8,-9900,?,9,-9900,?,9,0.02,E,8,-9900,?,9,-9900,?,9,0.2,99.0,E,8
01/01/2020,10:00,1189.284,1413.982,394.61,1,8,18.054,1,8,379.427,1,8,47353.2,1,8,1715.087,1,8,41736.994,1,8,143.612,1,8,-9900,?,9,-9900,?,9,19.9,E,8,16.72,E,8,81.0,E,8,869.2799,E,8,999.0,E,8,5.57,E,8,-9900,?,9,-9900,?,9,0.016,E,8,-9900,?,9,-9900,?,9,0.16,99.0,E,8
01/01/2020,11:00,1337.292,1413.982,473.53,1,8,44.081,1,8,431.841,1,8,56823.6,1,8,4187.722,1,8,47502.51,1,8,145.347,1,8,-9900,?,9,-9900,?,9,20.9,E,8,17.07,E,8,79.0,E,8,869.2799,E,8,999.0,E,8,7.13,E,8,-9900,?,9,-9900,?,9,0.012,E,8,-9900,?,9,-9900,?,9,0.12,99.0,E,8
01/01/2020,12:00,1407.799,1413.982,521.11,1,8,48.359,1,8,472.963,1,8,62533.2,1,8,4594.098,1,8,52025.89,1,8,151.21,1,8,-9900,?,9,-9900,?,9,21.73,E,8,17.35,E,8,77.0,E,8,869.2799,E,8,999.0,E,8,8.04,E,8,-9900,?,9,-9900,?,9,0.037,E,8,-9900,?,9,-9900,?,9,0.37,99.0,E,8
01/01/2020,13:00,1395.99,1413.982,533.9,1,8,54.484,1,8,480.11,1,8,64068.0,1,8,5175.938,1,8,52812.113,1,8,154.795,1,8,-9900,?,9,-9900,?,9,22.36,E,8,17.56,E,8,76.0,E,8,869.2799,E,8,999.0,E,8,10.92,E,8,-9900,?,9,-9900,?,9,0.01,E,8,-9900,?,9,-9900,?,9,0.1,99.0,E,8
01/01/2020,14:00,1302.663,1413.982,510.99,1,8,63.294,1,8,452.682,1,8,61318.8,1,8,6012.976,1,8,49794.973,1,8,156.415,1,8,-9900,?,9,-9900,?,9,22.78,E,8,17.7,E,8,75.0,E,8,869.2799,E,8,999.0,E,8,12.73,E,8,-9900,?,9,-9900,?,9,0.004,E,8,-9900,?,9,-9900,?,9,0.04,99.0,E,8
01/01/2020,15:00,1134.182,1413.982,454.02,1,8,56.13,1,8,409.004,1,8,54482.4,1,8,5332.382,1,8,44990.451,1,8,162.334,1,8,-9900,?,9,-9900,?,9,22.97,E,8,17.76,E,8,75.0,E,8,869.2799,E,8,999.0,E,8,11.69,E,8,-9900,?,9,-9900,?,9,0.001,E,8,-9900,?,9,-9900,?,9,0.01,99.0,E,8
01/01/2020,16:00,902.053,1413.982,367.14,1,8,59.672,1,8,329.088,1,8,44056.8,1,8,5668.85,1,8,36199.717,1,8,164.271,1,8,-9900,?,9,-9900,?,9,22.92,E,8,17.75,E,8,72.0,E,8,869.2799,E,8,999.0,E,8,9.92,E,8,-9900,?,9,-9900,?,9,0.0,E,8,-9900,?,9,-9900,?,9,0.0,0.0,E,8
01/01/2020,17:00,622.179,1413.982,257.03,1,8,112.814,1,8,207.45,1,8,30843.6,1,8,10717.368,1,8,22819.485,1,8,150.252,1,8,-9900,?,9,-9900,?,9,22.53,E,8,17.62,E,8,76.0,E,8,869.2799,E,8,999.0,E,8,7.75,E,8,-9900,?,9,-9900,?,9,0.001,E,8,-9900,?,9,-9900,?,9,0.01,99.0,E,8
01/01/2020,18:00,314.067,1413.982,133.69,1,8,193.571,1,8,90.93,1,8,16042.8,1,8,18389.247,1,8,10002.32,1,8,131.028,1,8,-9900,?,9,-9900,?,9,21.84,E,8,17.39,E,8,77.0,E,8,869.2799,E,8,999.0,E,8,5.12,E,8,-9900,?,9,-9900,?,9,0.087,E,8,-9900,?,9,-9900,?,9,0.87,99.0,E,8
01/01/2020,19:00,8.039,1413.982,20.38,1,8,0.0,1,8,0.0,1,8,2445.6,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,20.95,E,8,17.08,E,8,82.0,E,8,869.2799,E,8,999.0,E,8,2.91,E,8,-9900,?,9,-9900,?,9,0.146,E,8,-9900,?,9,-9900,?,9,1.46,99.0,E,8
01/01/2020,20:00,0.0,1413.982,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,20.13,E,8,16.8,E,8,81.0,E,8,869.2799,E,8,999.0,E,8,1.0,E,8,-9900,?,9,-9900,?,9,0.03,E,8,-9900,?,9,-9900,?,9,0.3,99.0,E,8
01/01/2020,21:00,0.0,1413.982,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,0.0,1,8,-0.0,1,8,-9900,?,9,-9900,?,9,19.3,E,8,16.51,E,8,82.0,E,8,869.2799,E,8,999.0,E,8,0.75,E,8,-9900,?,9,-9900,?,9,0.002,E,8,-9900,?,9,-9900,?,9,0.02,99.0,E,8
