070000,LE_PORT,,-4,-20.946167,55.282,9
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2025,01:00,0.0,1413.981805,0.0,1,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,-0.0,0,0,0.0,E,0,,E,0,26.580000000000002,A,0,21.240000000000002,E,0,72.6,A,0,1014.1,A,0,86.0,A,0,1.9600000000000002,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,02:00,0.0,1413.981805,0.0,1,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,-0.0,0,0,0.0,E,0,,E,0,26.339999999999996,A,0,20.82,E,0,71.8,A,0,1013.7,A,0,66.0,A,0,1.98,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,03:00,0.0,1413.981805,0.0,1,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,-0.0,0,0,0.0,E,0,,E,0,26.2,A,0,20.48,E,0,70.8,A,0,1013.2,A,0,64.0,A,0,2.04,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,04:00,0.0,1413.981805,0.0,1,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,-0.0,0,0,0.0,E,0,,E,0,25.9,A,0,20.14,E,0,70.6,A,0,1012.9,A,0,68.0,A,0,1.9,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,05:00,0.0,1413.981805,0.0,1,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,-0.0,0,0,0.0,E,0,,E,0,25.659999999999997,A,0,19.82,E,0,70.2,A,0,1012.9,A,0,80.0,A,0,1.92,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,06:00,0.0,1413.981805,20.555555555555554,1,0,0.0,2,0,0.0,2,0,2466.6666666666665,2,0,0.0,2,0,0.0,2,0,-0.0,0,0,0.0,E,0,,E,0,25.860000000000003,A,0,19.740000000000002,E,0,69.0,A,0,1013.0,A,0,80.0,A,0,1.78,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,07:00,84.36746720782395,1413.981805,0.0,1,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,0,0,0.0,E,0,,E,0,25.3,A,0,19.2,E,0,69.0,A,0,1013.3,A,0,120.0,A,0,1.8,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,08:00,397.3775439410163,1413.981805,102.77777777777777,1,0,9.4927625281726,2,0,100.10998485051267,2,0,12333.333333333332,2,0,901.812440176397,2,0,11012.098333556394,2,0,113.3882422211209,0,0,0.0,E,0,,E,0,27.2,A,0,20.1,E,0,65.0,A,0,1013.8,A,0,50.0,A,0,1.6,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,09:00,700.2129318081159,1413.981805,294.44444444444446,1,0,135.35428714380527,2,0,227.4161263298691,2,0,35333.333333333336,2,0,12858.6572786615,2,0,25015.7738962856,2,0,146.17903106027572,0,0,0.0,E,0,,E,0,27.6,A,0,21.4,E,0,69.0,A,0,1013.8,A,0,320.0,A,0,1.6,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,10:00,969.2553569273924,1413.981805,344.44444444444446,1,0,84.43632473271563,2,0,286.565085758888,2,0,41333.333333333336,2,0,8021.450849607985,2,0,31522.159433477682,2,0,133.0696499706026,0,0,0.0,E,0,,E,0,28.0,A,0,21.8,E,0,69.0,A,0,1013.6,A,0,340.0,A,0,2.1,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,11:00,1185.896111067851,1413.981805,725.0,1,0,415.33084017875734,2,0,376.66508760377474,2,0,87000.0,2,0,39456.429816981945,2,0,41433.15963641522,2,0,142.95609339868324,0,0,0.0,E,0,,E,0,29.0,A,0,22.3,E,0,67.0,A,0,1013.3,A,0,240.0,A,0,2.8,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,12:00,1335.3015214470804,1413.981805,947.2222222222222,1,0,620.9440918345682,2,0,360.8302420508263,2,0,113666.66666666666,2,0,58989.68872428398,2,0,39691.3266255909,2,0,121.62351038021292,0,0,0.0,E,0,,E,0,29.6,A,0,22.6,E,0,66.0,A,0,1012.9,A,0,230.0,A,0,4.5,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,13:00,1407.2631033228397,1413.981805,1086.111111111111,1,0,872.3248178889129,2,0,217.93124770198983,2,0,130333.33333333333,2,0,82870.85769944673,2,0,23972.43724721888,2,0,69.70086253881104,0,0,0.0,E,0,,E,0,29.4,A,0,22.9,E,0,68.0,A,0,1012.7,A,0,240.0,A,0,5.2,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,14:00,1396.8638255624596,1413.981805,1122.2222222222222,1,0,769.049150398638,2,0,362.4833525474453,2,0,134666.66666666666,2,0,73059.66928787061,2,0,39873.168780218984,2,0,116.79599306248834,0,0,0.0,E,0,,E,0,30.0,A,0,22.4,E,0,64.0,A,0,1012.5,A,0,230.0,A,0,6.0,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,15:00,1304.8069873385318,1413.981805,1125.0,1,0,850.3972064017937,2,0,340.2627332243302,2,0,135000.0,2,0,80787.7346081704,2,0,37428.90065467632,2,0,117.37133946222707,0,0,0.0,E,0,,E,0,30.2,A,0,22.1,E,0,62.0,A,0,1012.1,A,0,230.0,A,0,5.7,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,16:00,1137.369176888141,1413.981805,969.4444444444445,1,0,1026.8990068556798,2,0,143.43432603652468,2,0,116333.33333333333,2,0,97555.40565128958,2,0,15777.775864017714,2,0,56.76041876318018,0,0,0.0,E,0,,E,0,29.8,A,0,22.0,E,0,63.0,A,0,1012.0,A,0,230.0,A,0,4.9,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,17:00,905.982852276282,1413.981805,738.8888888888889,1,0,841.6438736709547,2,0,199.62104642236557,2,0,88666.66666666667,2,0,79956.1679987407,2,0,21958.315106460213,2,0,99.1699966158441,0,0,0.0,E,0,,E,0,29.8,A,0,22.0,E,0,63.0,A,0,1011.8,A,0,230.0,A,0,5.4,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
01/01/2025,18:00,626.5007744951388,1413.981805,522.2222222222222,1,0,826.8932743496616,2,0,155.84602489563474,2,0,62666.66666666666,2,0,78554.86106321786,2,0,17143.06273851982,2,0,111.96133429015725,0,0,0.0,E,0,,E,0,29.9,A,0,22.1,E,0,63.0,A,0,1012.0,A,0,230.0,A,0,5.5,A,0,-9900.0,0,0,-9900,0,0,0.0,A,0,0.09,E,8,0,E,8,0.0,-9900.0,0,0
