21,-21.32,55.4255,0,0,4,619999
month,day,year,hour,minute,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},GHI infared {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,PrecipWtr {mm},AerosolOptDepth {.001},SnowDepth {cm},DaysLastSnow,Albedo {.01},Rain {mm},Rain Quantity {hr}
1,1,2026,1,0,,23.9,18.259999999999998,70.8,101310.0,0.0,1413.940576307916,374.90863540069705,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,44.0,1.9799999999999998,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,2,0,,23.759999999999998,17.7,69.0,101250.0,0.0,1413.940576307916,372.3731239652627,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,32.0,2.44,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,3,0,,23.68,17.36,67.8,101210.0,0.0,1413.940576307916,370.77875713318093,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,28.0,2.68,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,4,0,,23.54,16.86,66.2,101170.0,0.0,1413.940576307916,368.37875641978695,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,30.0,2.8,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,5,0,,23.5,16.44,64.6,101170.0,0.0,1413.981805,366.77610573107404,1.1111111111111112,0.0,0.0,133.33333333333334,0.0,0.0,-0.0,32.0,2.9400000000000004,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,6,0,,23.919999999999998,16.2,62.2,101190.0,0.0,1413.981805,368.13292263707183,24.444444444444443,0.0,0.0,2933.333333333333,0.0,0.0,-0.0,32.0,2.98,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,7,0,,23.4,15.7,62.0,101260.0,91.51724908405059,1413.981805,363.8883388318966,5.555555555555555,0.0,5.555555555555555,666.6666666666666,0.0,611.1111111111111,27.32237740973336,30.0,3.4,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,8,0,,25.8,16.0,55.0,101320.0,403.92563177712987,1413.981805,376.69347668487836,116.66666666666666,22.798571788631424,110.15390428119933,13999.999999999998,2165.864319919985,12116.929470931926,122.74178370830599,30.0,3.3,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,9,0,,28.5,19.4,58.0,101340.0,705.693164533959,1413.981805,401.9724751568684,325.0,192.82079918171635,228.76656935658912,39000.0,18317.975922263053,25164.322629224804,145.9051417877965,300.0,1.2,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,10,0,,28.2,20.0,61.0,101350.0,973.5208875614707,1413.981805,402.32853118761096,561.1111111111111,367.8435642282883,307.85227010976024,67333.33333333333,34945.13860168739,33863.74971207363,142.32822549282358,240.0,3.0,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,11,0,,29.0,21.5,64.0,101340.0,1188.8930449724203,1413.981805,411.98255541686564,775.0,553.0648161180767,309.9763971667712,93000.0,52541.157531217286,34097.403688344835,117.34910673592735,250.0,4.1,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,12,0,,28.3,21.6,67.0,101330.0,1337.0641394933793,1413.981805,408.60771342777343,913.8888888888888,628.6799704641742,319.40779956157303,109666.66666666666,59724.59719409655,35134.85795177303,107.51949704961446,240.0,4.3,0.0,20.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,13,0,,29.3,22.0,65.0,101290.0,1407.9103256437577,1413.981805,415.47969137494346,941.6666666666666,547.4532943211029,396.5640754191279,113000.0,52008.06296050478,43622.04829610407,126.77462172486058,240.0,4.8,0.0,30.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,14,0,,28.7,22.4,69.0,101260.0,1396.5908327518614,1413.981805,413.76441872535423,783.3333333333333,286.5672740974385,500.2906332392026,93999.99999999999,27223.891039256658,55031.969656312285,161.23047488969664,250.0,4.5,80.0,40.0,20.0,2700.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,15,0,,28.9,21.9,66.0,101200.0,1303.8718683681477,1413.981805,412.84599328397735,836.1111111111111,535.425458734414,342.38043453291215,100333.33333333333,50865.41857976933,37661.847798620336,118.18652727944942,240.0,4.0,70.0,50.0,20.0,660.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,16,0,,29.2,21.2,62.0,101150.0,1136.0753214883002,1413.981805,411.7366641973041,700.0,444.8967398758347,342.54405184263624,84000.0,42265.1902882043,37679.845702689985,135.70731343274252,60.0,1.7,80.0,50.0,20.0,780.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,17,0,,29.1,20.8,61.0,101120.0,904.6583017764507,1413.981805,409.901091772513,877.7777777777777,641.8016350675584,467.15638561809095,105333.33333333333,60971.15533141805,51387.20241799,232.41901968431293,210.0,3.0,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,18,0,,28.7,20.5,61.0,101150.0,625.4759215398676,1413.981805,406.4808588594315,594.4444444444445,861.9591980827852,213.15614084382253,71333.33333333333,81886.12381786459,23447.17549282048,153.384403414527,180.0,3.2,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,19,0,,27.9,20.5,64.0,101180.0,317.97645653682633,1413.981805,402.4396591667262,322.22222222222223,533.7364537723929,202.19548234838268,38666.666666666664,50704.96310837733,22241.503058322094,286.20052818411676,180.0,2.5,0.0,20.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,20,0,,26.9,20.3,67.0,101250.0,11.824722684278008,1413.981805,396.62008841710707,80.55555555555556,0.0,80.55555555555556,9666.666666666666,0.0,8861.111111111111,3066.185892320682,190.0,2.3,0.0,10.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,21,0,,26.7,20.3,68.0,101290.0,0.0,1413.981805,395.79535494851257,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,130.0,1.8,60.0,60.0,20.0,1920.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,22,0,,25.8,19.4,68.0,101340.0,0.0,1413.981805,388.29705006882756,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,30.0,3.1,80.0,10.0,20.0,2100.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,23,0,,25.7,19.1,67.0,101350.0,0.0,1413.981805,386.65390295277814,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,20.0,2.2,80.0,80.0,20.0,2160.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,1,2026,24,0,,25.6,19.0,67.0,101320.0,0.0,1413.981805,385.81127346042086,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,40.0,3.4,80.0,80.0,20.0,2400.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,2,2026,1,0,,25.3,19.0,68.0,101260.0,0.0,1413.981805,384.120245169112,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,50.0,2.3,0.0,50.0,20.0,2400.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,2,2026,2,0,,25.1,18.8,68.0,101240.0,0.0,1413.981805,382.46574621430767,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,40.0,2.1,0.0,20.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,2,2026,3,0,,24.1,18.8,72.0,101210.0,0.0,1413.981805,377.3814099777444,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,10.0,2.3,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,2,2026,4,0,,23.8,18.5,72.0,101210.0,0.0,1413.981805,374.9466074297821,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,20.0,2.3,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,2,2026,5,0,,23.7,18.2,71.0,101210.0,0.0,1414.0080167304782,373.39090028232977,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,20.0,2.7,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,2,2026,6,0,,23.7,17.5,68.0,101230.0,0.0,1414.0080167304782,371.10559132680527,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,30.0,3.4,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,2,2026,7,0,,23.9,17.1,66.0,101290.0,88.4026214589767,1414.0080167304782,371.15693285481564,5.555555555555555,0.0,5.555555555555555,666.6666666666666,0.0,611.1111111111111,28.285531924545168,30.0,3.3,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
1,2,2026,8,0,,25.8,17.2,59.0,101340.0,400.9227167217021,1414.0080167304782,380.5011401584907,116.66666666666666,52.22759415731869,101.85824359576557,13999.999999999998,4961.6214449452755,11204.406795534213,114.35035509176448,40.0,3.8,0.0,0.0,20.0,20000.0,0,0.0,0.0,0.09,0,0,0.2,0.0,0.0
