19,-21.265,55.38,0,0,4,619999
month,day,year,hour,minute,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},GHI infared {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,PrecipWtr {mm},AerosolOptDepth {.001},SnowDepth {cm},DaysLastSnow,Albedo {.01},Rain {mm},Rain Quantity {hr}
1,1,2026,1,0,,22.4,18.339999999999996,77.8,101317.76468738305,0.0,1413.940576307916,367.84746614677016,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,58.0,0.22000000000000003,0.0,,,-9900,9,,0.0,0.09,0,0,0.2,0.0,
1,1,2026,2,0,,21.98,18.2,79.2,101257.84289456648,0.0,1413.940576307916,365.3988071849154,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,60.0,0.32,0.0,,,-9900,9,,0.0,0.09,0,0,0.2,0.0,
1,1,2026,3,0,,21.7,18.0,79.6,101217.89503268874,0.0,1413.940576307916,363.41558865041264,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,60.0,0.32,0.0,,,-9900,9,,0.0,0.09,0,0,0.2,0.0,
1,1,2026,4,0,,21.2,17.8,81.0,101177.947170811,0.0,1413.940576307916,360.34320723247663,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,60.0,0.32,0.0,,,-9900,9,,0.0,0.09,0,0,0.2,0.0,
1,1,2026,5,0,,20.78,17.740000000000002,82.8,101167.96020534159,0.0,1413.981805,358.1617615527582,0.5555555555555556,0.0,0.0,66.66666666666667,0.0,0.0,-0.0,36.0,0.19999999999999998,0.0,,,-9900,9,,0.0,0.09,0,0,0.2,0.0,
1,1,2026,6,0,,21.119999999999997,18.12,83.0,101187.93413628044,0.0,1413.981805,360.9736792217366,14.999999999999996,0.0,0.0,1799.9999999999995,0.0,0.0,-0.0,28.0,0.2,0.0,,,-9900,9,,0.0,0.09,0,0,0.2,0.0,
1,1,2026,7,0,,20.4,17.6,84.0,101247.85592909704,90.07882981749053,1413.981805,355.9585129013203,2.7777777777777777,0.0,2.7777777777777777,333.3333333333333,0.0,305.55555555555554,13.879336710086186,0.0,0.0,0.0,,,-9900,9,,0.0,0.09,0,0,0.2,0.0,
1,1,2026,8,0,,22.9,19.5,81.0,101317.76468738305,402.56199759659887,1413.981805,374.010962395779,72.22222222222221,0.0,72.22222222222221,8666.666666666666,0.0,7944.444444444443,80.74804586807748,130.0,0.5,0.0,,,-9900,9,,0.0,0.09,0,0,0.2,0.0,
1,1,2026,9,0,,28.7,19.9,59.0,101347.72558379134,704.5131452342025,1413.981805,404.6625361000027,355.55555555555554,307.399552635211,202.39444350672028,42666.666666666664,29202.957500345048,22263.38878573923,129.30146121225414,170.0,1.3,0.0,,,-9900,9,,0.0,0.09,0,0,0.2,0.0,
1,1,2026,10,0,,29.7,20.0,56.0,101367.69951473021,972.5737814810844,1413.981805,410.2018000972219,586.1111111111111,453.61741263123315,274.1011539897577,70333.33333333333,43093.654199967146,30151.126938873345,126.84759997898561,250.0,2.8,0.0,,,-9900,9,,0.0,0.09,0,0,0.2,0.0,
