798,-21.130333,55.304667,0,0,4,619999
month,day,year,hour,minute,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},GHI infared {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,PrecipWtr {mm},AerosolOptDepth {.001},SnowDepth {cm},DaysLastSnow,Albedo {.01},Rain {mm},Rain Quantity {hr}
1,1,2026,1,0,,20.364,19.444,94.55999999999999,91388.0389070163,0.0,1413.940576307916,356.4957897944504,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,122.0,1.816,0.0,,,-9900,9,999999999,0.68,0.09,0,0,0.2,0.68,
1,1,2026,2,0,,20.528,19.744,95.32000000000001,91149.66539096151,0.0,1413.948822046333,358.0574081395206,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,135.2,2.1399999999999997,0.0,,,-9900,9,999999999,0.984,0.09,0,0,0.2,0.984,
1,1,2026,3,0,,20.688,20.060000000000002,96.2,91146.02610064007,0.0,1413.9570677847496,359.78081528458614,3.555555555555556,0.0,0.0,426.6666666666667,0.0,0.0,-0.0,148.8,2.444,0.0,,,-9900,9,999999999,1.208,0.09,0,0,0.2,1.208,
1,1,2026,4,0,,20.788000000000004,20.351999999999997,97.24000000000001,91167.86184256875,17.457745557512027,1413.9653135231663,361.13376539476775,3.555555555555556,0.0,0.0,426.6666666666667,0.0,0.0,0.0,165.6,2.816,0.0,,,-9900,9,999999999,1.416,0.09,0,0,0.2,1.416,
1,1,2026,5,0,,20.759999999999998,20.451999999999998,97.92,91202.43510062249,97.45162547740419,1413.973559261583,361.29171535288873,21.333333333333332,0.0,17.77777777777778,2560.0,0.0,1955.5555555555554,20.00528097582694,167.2,2.932,0.0,,,-9900,9,999999999,1.192,0.09,0,0,0.2,1.192,
1,1,2026,6,0,,20.755,20.52,98.30000000000001,91223.36101997079,121.81453184675524,1413.981805,361.4650642929978,26.666666666666664,0.0,22.22222222222222,3200.0,0.0,2444.4444444444443,25.006601219783672,172.0,3.075,0.0,,,-9900,9,999999999,1.18,0.09,0,0,0.2,1.18,
1,1,2026,7,0,,20.74,20.573333333333334,98.66666666666667,91246.10658447983,162.41937579567366,1413.981805,361.55234016494455,35.55555555555555,0.0,29.62962962962963,4266.666666666667,0.0,3259.259259259259,33.342134959711565,174.0,3.146666666666667,0.0,,,-9900,9,999999999,1.0533333333333335,0.09,0,0,0.2,1.0533333333333335,
1,1,2026,8,0,,20.8,20.7,99.0,91337.08884251604,702.3119748079171,1413.981805,362.25449009148844,86.11111111111111,0.0,86.11111111111111,10333.333333333334,0.0,9472.222222222223,55.18525681512511,180.0,3.7,0.0,,,-9900,9,999999999,1.2,0.09,0,0,0.2,1.2,
1,1,2026,9,0,,21.9,21.6,98.0,91364.38351992688,970.8365358041033,1413.981805,370.5488651409309,411.1111111111111,108.23855935801856,336.7947743407341,49333.33333333333,10282.663139011764,37047.42517748075,156.1396425695277,190.0,3.6,0.0,,,-9900,9,999999999,0.0,0.09,0,0,0.2,0.0,
1,1,2026,10,0,,21.6,21.3,98.0,91391.67819733772,1186.9738610032568,1413.981805,368.1473490114844,272.22222222222223,10.211746615183467,263.6499221653546,32666.666666666668,970.1159284424293,29001.49143818901,99.9724742123976,200.0,3.3,0.0,,,-9900,9,999999999,0.0,0.09,0,0,0.2,0.0,
