999,PITON-MAIDO,,4,-21.077,55.381,2150
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,16.1,E,8,14.4,E,8,90,E,8,784,E,8,83,E,8,2.8,E,8,-9990,0,0,-9990,0,0,2.543,E,8,0.085,E,8,0.20,E,8,18,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,17.5,E,8,14.3,E,8,81,E,8,784,E,8,72,E,8,2.4,E,8,-9990,0,0,-9990,0,0,2.518,E,8,0.085,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,17.2,E,8,13.9,E,8,81,E,8,784,E,8,69,E,8,2.2,E,8,-9990,0,0,-9990,0,0,2.462,E,8,0.085,E,8,0.20,E,8,2,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,17.3,E,8,14.1,E,8,81,E,8,784,E,8,130,E,8,2.4,E,8,-9990,0,0,-9990,0,0,2.483,E,8,0.085,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,17.3,E,8,13.1,E,8,76,E,8,784,E,8,83,E,8,2.4,E,8,-9990,0,0,-9990,0,0,2.327,E,8,0.085,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,06:00,6,196,1,3,10,0,3,20,1,3,10,89,3,10,13,3,20,89,3,10,-9990,0,0,10,E,8,9,E,8,17.4,E,8,13.2,E,8,76,E,8,784,E,8,72,E,8,2.7,E,8,-9990,0,0,-9990,0,0,2.337,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,244,1412,24,3,10,0,3,20,24,3,10,2967,3,10,0,3,20,2967,3,10,-9990,0,0,10,E,8,9,E,8,17.4,E,8,13.2,E,8,76,E,8,784,E,8,96,E,8,2.3,E,8,-9990,0,0,-9990,0,0,2.336,E,8,0.085,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,08:00,556,1412,125,3,10,0,3,20,125,3,10,14501,3,10,0,3,20,14501,3,10,-9990,0,0,10,E,8,9,E,8,17.9,E,8,13.7,E,8,76,E,8,784,E,8,102,E,8,3.0,E,8,-9990,0,0,-9990,0,0,2.413,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,844,1412,194,3,10,4,3,20,191,3,10,22991,3,10,365,3,20,22773,3,10,-9990,0,0,10,E,8,9,E,8,18.2,E,8,10.5,E,8,61,E,8,784,E,8,79,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.940,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,1087,1412,250,3,10,2,3,20,248,3,10,30052,3,10,67,3,20,30001,3,10,-9990,0,0,10,E,8,9,E,8,18.3,E,8,14.1,E,8,76,E,8,784,E,8,118,E,8,4.1,E,8,-9990,0,0,-9990,0,0,2.492,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
