999,PLAINE_DES_CAFRES,,4,-21.209,55.573,1560
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,19.6,E,8,13.8,E,8,69,E,8,855,E,8,83,E,8,2.4,E,8,-9990,0,0,-9990,0,0,2.440,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,19.0,E,8,13.9,E,8,72,E,8,855,E,8,72,E,8,2.1,E,8,-9990,0,0,-9990,0,0,2.450,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,18.6,E,8,13.3,E,8,71,E,8,855,E,8,69,E,8,2.2,E,8,-9990,0,0,-9990,0,0,2.357,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,18.3,E,8,13.1,E,8,72,E,8,855,E,8,130,E,8,2.4,E,8,-9990,0,0,-9990,0,0,2.323,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,18.1,E,8,13.3,E,8,74,E,8,855,E,8,83,E,8,1.9,E,8,-9990,0,0,-9990,0,0,2.354,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,7,208,1,3,10,0,3,20,1,3,10,113,3,10,13,3,20,113,3,10,-9990,0,0,0,E,8,0,E,8,18.1,E,8,13.6,E,8,75,E,8,855,E,8,72,E,8,2.1,E,8,-9990,0,0,-9990,0,0,2.407,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,249,1412,168,3,10,662,3,20,51,3,10,17391,3,10,51904,3,20,8222,3,10,-9990,0,0,0,E,8,0,E,8,18.8,E,8,13.2,E,8,70,E,8,855,E,8,96,E,8,1.9,E,8,-9990,0,0,-9990,0,0,2.338,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,561,1412,436,3,10,908,3,20,76,3,10,47550,3,10,90034,3,20,11782,3,10,-9990,0,0,0,E,8,0,E,8,19.7,E,8,12.8,E,8,64,E,8,855,E,8,102,E,8,2.6,E,8,-9990,0,0,-9990,0,0,2.268,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,848,1412,700,3,10,1012,3,20,92,3,10,76005,3,10,104264,3,20,13396,3,10,-9990,0,0,0,E,8,0,E,8,20.6,E,8,12.2,E,8,58,E,8,855,E,8,79,E,8,2.4,E,8,-9990,0,0,-9990,0,0,2.174,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,1090,1412,926,3,10,1053,3,20,112,3,10,99986,3,10,109461,3,20,15435,3,10,-9990,0,0,0,E,8,0,E,8,21.6,E,8,12.2,E,8,55,E,8,855,E,8,118,E,8,4.3,E,8,-9990,0,0,-9990,0,0,2.180,E,8,0.085,E,8,0.20,E,8,0,-9990,0,0
